"BORO_NM","HOUR","COMPLAINTS_PER_SQ_MI"
"BRONX",0,320.97619047619
"BROOKLYN",0,265.591549295775
"MANHATTAN",0,627.95652173913
"QUEENS",0,136.651376146789
"STATEN ISLAND",0,47.9661016949153
"BRONX",1,229.714285714286
"BROOKLYN",1,178.676056338028
"MANHATTAN",1,445
"QUEENS",1,90.6330275229358
"STATEN ISLAND",1,31.4915254237288
"BRONX",2,188.142857142857
"BROOKLYN",2,144.859154929577
"MANHATTAN",2,382.434782608696
"QUEENS",2,77.8899082568807
"STATEN ISLAND",2,25.5762711864407
"BRONX",3,157.095238095238
"BROOKLYN",3,121.239436619718
"MANHATTAN",3,324.04347826087
"QUEENS",3,69.8165137614679
"STATEN ISLAND",3,21.0677966101695
"BRONX",4,142.404761904762
"BROOKLYN",4,101.140845070423
"MANHATTAN",4,267.260869565217
"QUEENS",4,64.1467889908257
"STATEN ISLAND",4,17.4237288135593
"BRONX",5,116.97619047619
"BROOKLYN",5,83.4929577464789
"MANHATTAN",5,199.173913043478
"QUEENS",5,49.1926605504587
"STATEN ISLAND",5,13.5423728813559
"BRONX",6,132.619047619048
"BROOKLYN",6,99.1267605633803
"MANHATTAN",6,220.217391304348
"QUEENS",6,50.4770642201835
"STATEN ISLAND",6,15.5932203389831
"BRONX",7,174.142857142857
"BROOKLYN",7,137.577464788732
"MANHATTAN",7,361.478260869565
"QUEENS",7,68.6238532110092
"STATEN ISLAND",7,24.2203389830508
"BRONX",8,260.5
"BROOKLYN",8,215.535211267606
"MANHATTAN",8,565
"QUEENS",8,98.1192660550459
"STATEN ISLAND",8,40.5423728813559
"BRONX",9,282.142857142857
"BROOKLYN",9,225.267605633803
"MANHATTAN",9,623
"QUEENS",9,107.330275229358
"STATEN ISLAND",9,43.2033898305085
"BRONX",10,295.214285714286
"BROOKLYN",10,251.802816901408
"MANHATTAN",10,696.478260869565
"QUEENS",10,115.963302752294
"STATEN ISLAND",10,49.8983050847458
"BRONX",11,302.452380952381
"BROOKLYN",11,257
"MANHATTAN",11,736.304347826087
"QUEENS",11,118.02752293578
"STATEN ISLAND",11,48.3389830508475
"BRONX",12,370.333333333333
"BROOKLYN",12,330.845070422535
"MANHATTAN",12,937.304347826087
"QUEENS",12,167.357798165138
"STATEN ISLAND",12,69.5254237288136
"BRONX",13,349.619047619048
"BROOKLYN",13,282.197183098592
"MANHATTAN",13,846.391304347826
"QUEENS",13,131.633027522936
"STATEN ISLAND",13,53.864406779661
"BRONX",14,395.761904761905
"BROOKLYN",14,310.084507042254
"MANHATTAN",14,902.260869565217
"QUEENS",14,144.577981651376
"STATEN ISLAND",14,59.2033898305085
"BRONX",15,440.02380952381
"BROOKLYN",15,346.971830985916
"MANHATTAN",15,987.95652173913
"QUEENS",15,164.256880733945
"STATEN ISLAND",15,64.5254237288136
"BRONX",16,454.404761904762
"BROOKLYN",16,337.760563380282
"MANHATTAN",16,1003.52173913043
"QUEENS",16,159.155963302752
"STATEN ISLAND",16,60.7627118644068
"BRONX",17,459.357142857143
"BROOKLYN",17,343.704225352113
"MANHATTAN",17,999.434782608696
"QUEENS",17,163.385321100917
"STATEN ISLAND",17,61.9152542372881
"BRONX",18,459.642857142857
"BROOKLYN",18,338.971830985916
"MANHATTAN",18,938
"QUEENS",18,165.724770642202
"STATEN ISLAND",18,59.5423728813559
"BRONX",19,440.047619047619
"BROOKLYN",19,316.183098591549
"MANHATTAN",19,847.739130434783
"QUEENS",19,158.477064220183
"STATEN ISLAND",19,55.1525423728814
"BRONX",20,424.547619047619
"BROOKLYN",20,311.971830985916
"MANHATTAN",20,789.565217391304
"QUEENS",20,157.422018348624
"STATEN ISLAND",20,54.8305084745763
"BRONX",21,384.452380952381
"BROOKLYN",21,282.084507042254
"MANHATTAN",21,663.95652173913
"QUEENS",21,140.275229357798
"STATEN ISLAND",21,48.9491525423729
"BRONX",22,353.595238095238
"BROOKLYN",22,259.253521126761
"MANHATTAN",22,590.130434782609
"QUEENS",22,131.238532110092
"STATEN ISLAND",22,44
"BRONX",23,306.285714285714
"BROOKLYN",23,228.239436619718
"MANHATTAN",23,530
"QUEENS",23,114.550458715596
"STATEN ISLAND",23,41
